Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotFrontage_na,MasVnrArea_na,GarageYrBlt_na
931,0.0,0.75,0.46117107,0.377047656,1,1.0,0.333333333,1.0,1,0.0,0.0,0.863636364,0.4,1,0.75,0.6,0.444444444,0.5,0.014705882,0.049180328,0.0,0,1.0,1.0,0.0,0.0,0.666666667,1.0,1.0,0.75,0.75,0.75,1.0,0.002834869,0.666666667,0.0,0.673478867,0.239934534,1.0,1.0,1,1.0,0.559760409,0.0,0.0,0.523250393,0.0,0.0,0.666666667,0.0,0.375,0.333333333,0.666666667,0.416666667,1.0,0.0,0.2,0.8,0.018691589,1.0,0.75,0.430183357,0.666666667,1.0,1.0,0.116686114,0.032906764,0.0,0.0,0.0,0.0,0,0.75,1.0,0.0,0.545454545,0.75,0.666666667,0.75,12.21106019,0,0,0
657,0.0,0.75,0.45606561,0.399443287,1,1.0,0.333333333,0.333333333,1,0.0,0.0,0.363636364,0.4,1,0.75,0.6,0.444444444,0.75,0.360294118,0.049180328,0.0,0,0.6,0.6,0.666666667,0.03375,0.666666667,1.0,0.5,0.5,0.75,0.25,0.666666667,0.14280652,0.666666667,0.0,0.114723641,0.172340426,1.0,1.0,1,1.0,0.434538943,0.0,0.0,0.406196417,0.333333333,0.0,0.333333333,0.5,0.375,0.333333333,0.666666667,0.25,1.0,0.0,0.2,0.8,0.457943925,0.666666667,0.25,0.220028209,0.666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,1.0,0.0,0.636363636,0.5,0.666666667,0.75,11.88793137,0,0,0
46,0.588235294,0.75,0.394699272,0.347082279,1,1.0,0.0,0.333333333,1,0.0,0.0,0.954545455,0.4,1,1.0,0.6,0.222222222,0.5,0.036764706,0.098360656,1.0,0,0.3,0.2,0.666666667,0.2575,1.0,1.0,1.0,1.0,0.75,0.25,1.0,0.080793763,0.666666667,0.0,0.601950766,0.286743044,1.0,1.0,1,1.0,0.627204949,0.0,0.0,0.586295905,0.333333333,0.0,0.666666667,0.0,0.25,0.333333333,1.0,0.333333333,1.0,0.333333333,0.8,0.8,0.046728972,0.666666667,0.5,0.406205924,0.666666667,1.0,1.0,0.228704784,0.149908592,0.0,0.0,0.0,0.0,0,0.75,1.0,0.0,0.090909091,1.0,0.666666667,0.75,12.67576373,0,0,0
1349,0.0,0.75,0.388581117,0.493677103,1,1.0,0.666666667,0.666666667,1,0.0,0.0,0.454545455,0.4,1,0.75,0.6,0.333333333,0.5,0.066176471,0.163934426,0.0,0,1.0,1.0,0.0,0.0,0.666666667,1.0,1.0,0.75,0.75,1.0,1.0,0.255669738,0.666666667,0.0,0.018114259,0.242553191,1.0,1.0,1,1.0,0.566920173,0.0,0.0,0.529943165,0.333333333,0.0,0.666666667,0.0,0.375,0.333333333,0.666666667,0.25,1.0,0.333333333,0.4,0.8,0.08411215,0.666666667,0.5,0.36248237,0.666666667,1.0,1.0,0.46907818,0.045703839,0.0,0.0,0.0,0.0,0,0.75,1.0,0.0,0.636363636,0.25,0.666666667,0.75,12.27839331,1,0,0
56,0.0,0.75,0.577658092,0.40270176,1,1.0,0.333333333,0.333333333,1,0.0,0.0,0.363636364,0.4,1,0.75,0.6,0.555555556,0.5,0.323529412,0.737704918,0.0,0,0.6,0.7,0.666666667,0.17,0.333333333,1.0,0.5,0.5,0.75,0.25,0.333333333,0.08681786,0.666666667,0.0,0.434277752,0.233224223,1.0,0.75,1,1.0,0.549025848,0.0,0.0,0.513215987,0.0,0.0,0.666666667,0.0,0.375,0.333333333,0.333333333,0.416666667,1.0,0.333333333,0.8,0.8,0.411214953,0.666666667,0.5,0.406205924,0.666666667,1.0,1.0,0.0,0.0,0.0,0.801181102,0.0,0.0,0,0.75,1.0,0.0,0.545454545,0.5,0.666666667,0.75,12.10348606,0,0,0
1229,0.588235294,0.75,0.418208121,0.373596466,1,1.0,0.0,0.333333333,1,0.5,0.0,0.954545455,0.4,1,1.0,0.6,0.222222222,0.5,0.0,0.016393443,1.0,0,0.3,0.2,0.666666667,0.47875,1.0,1.0,1.0,1.0,0.75,0.25,1.0,0.27285613,0.666666667,0.0,0.075243846,0.278559738,1.0,1.0,1,1.0,0.616247804,0.0,0.0,0.576053433,0.333333333,0.0,0.333333333,0.5,0.125,0.333333333,1.0,0.416666667,1.0,0.333333333,0.8,0.8,0.0,1.0,0.75,0.741889986,0.666666667,1.0,1.0,0.0,0.131627057,0.0,0.0,0.466666667,0.0,0,0.75,1.0,0.0,0.818181818,0.5,1.0,1.0,12.8139179,0,0,0
964,0.0,0.75,0.65126074,0.433729901,1,1.0,0.333333333,0.333333333,1,0.5,0.0,0.681818182,0.4,1,0.75,0.6,0.222222222,0.5,0.014705882,0.049180328,0.0,0,1.0,1.0,0.0,0.0,0.666666667,1.0,1.0,1.0,0.75,0.25,0.833333333,0.0,0.666666667,0.0,0.836042731,0.294599018,1.0,1.0,1,1.0,0.6374335,0.0,0.0,0.595857305,0.0,0.0,0.666666667,0.0,0.25,0.333333333,1.0,0.416666667,1.0,0.0,0.2,0.8,0.018691589,1.0,0.5,0.49506347,0.666666667,1.0,1.0,0.336056009,0.248628885,0.0,0.0,0.0,0.0,0,0.75,1.0,0.0,0.363636364,0.75,0.666666667,0.75,12.38421883,0,0,0
922,0.411764706,0.75,0.429425342,0.373774939,1,1.0,0.0,0.333333333,1,0.0,0.0,0.136363636,0.2,1,0.25,0.2,0.444444444,0.75,0.794117647,0.098360656,0.0,0,0.3,0.2,0.0,0.0,0.333333333,1.0,0.5,0.5,0.75,0.25,0.666666667,0.192062367,0.666666667,0.0,0.087320019,0.208183306,1.0,0.75,1,1.0,0.506042878,0.495726496,0.0,0.66684462,0.666666667,0.0,0.666666667,1.0,0.5,0.666666667,0.333333333,0.583333333,1.0,0.0,0.2,0.0,0.028037383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12797075,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.727272727,0.5,0.666666667,0.75,11.89067673,0,0,1
459,0.294117647,0.25,0.388581117,0.267521214,1,0.0,0.0,0.333333333,1,0.0,0.0,0.227272727,0.4,1,0.75,1.0,0.444444444,0.75,0.610294118,0.213114754,1.0,0,0.4,0.3,0.0,0.0,0.333333333,0.666666667,1.0,0.5,0.75,0.25,0.833333333,0.0,0.666666667,0.0,0.273107292,0.096235679,1.0,0.25,1,1.0,0.34584746,0.444978632,0.0,0.568490787,0.0,0.0,0.333333333,0.0,0.375,0.333333333,0.666666667,0.416666667,1.0,0.333333333,0.8,0.4,0.775700935,0.333333333,0.25,0.160789845,0.666666667,1.0,1.0,0.22403734,0.115173675,0.0,0.0,0.0,0.0,0,0.5,1.0,0.0,0.454545455,0.5,0.666666667,0.75,11.98915964,1,0,0
1387,0.235294118,0.75,0.495063747,0.499580964,1,1.0,0.333333333,0.333333333,1,0.0,0.0,0.545454545,0.6,1,0.75,1.0,0.333333333,0.5,0.205882353,0.475409836,0.0,0,0.7,0.7,0.666666667,0.115,0.333333333,1.0,0.5,0.75,0.75,0.25,0.333333333,0.139971651,0.333333333,0.318181818,0.061774268,0.227823241,1.0,0.5,1,1.0,0.54015906,0.743589744,0.0,0.750128537,0.333333333,0.0,1.0,0.5,0.625,0.333333333,0.666666667,0.833333333,1.0,0.666666667,0.6,0.8,0.261682243,0.666666667,0.5,0.3977433,0.666666667,1.0,1.0,0.0,0.204753199,0.0,0.0,0.916666667,0.703252033,1,0.5,0.0,0.129032258,0.545454545,0.0,0.666666667,0.75,12.4292162,0,0,0
